id,idprovincia,zipcode,status
"361","2","Nordesa III","11103",,"1"
"362","2","Nueva Isabela","11301",,"1"
"363","2","Nuevo Amanecer","11804",,"1"
"364","2","Nuevo Amanecer","10805",,"1"
"365","2","Nuevo Horizonte","10805",,"1"
"366","2","Nuevo Renacer","11807",,"1"
"367","2","Obras Publicas","10801",,"1"
"368","2","Palma Real","10702",,"1"
"369","2","Palmarejito","10805",,"1"
"370","2","Pantoja","10701",,"1"
"371","2","Paraiso","10126",,"1"
"372","2","Paraiso Del Caribe","10903",,"1"
"373","2","Paraiso Oriental","11508",,"1"
"374","2","Parque Del Este I","11603",,"1"
"375","2","Parque Ind. Nueva Isabela","11807",,"1"
"376","2","Parque Isabela","10503",,"1"
"377","2","Parque Mirador Este","11604",,"1"
"378","2","Piantini","10127",,"1"
"379","2","Piantini","10148",,"1"
"380","2","Piantini","10150",,"1"
"381","2","Pidoca","11901",,"1"
"382","2","Pista de Motocros La Yuca","10505",,"1"
"383","2","Ponce","11302",,"1"
"384","2","Pradera Hermosa","10608",,"1"
"385","2","Prados Del Cachon","11515",,"1"
"386","2","Progreso","11403",,"1"
"387","2","Proyecto Bnv","11302",,"1"
"388","2","Proyecto Ciudad","11301",,"1"
"389","2","Pueblo Nuevo","10805",,"1"
"390","2","Pueblo Nuevo","11601",,"1"
"391","2","Puerto de Haina","11117",,"1"
"392","2","Puerto Rico","11904",,"1"
"393","2","Puerto Rico","10805",,"1"
"394","2","Radiante","11207",,"1"
"395","2","Ralma","11507",,"1"
"396","2","Renacimiento","11111",,"1"
"397","2","Renacimiento","11112",,"1"
"398","2","Rep. Alma Rosa","11511",,"1"
"399","2","Rep. Villa Carmen","11802",,"1"
"400","2","Rep. Villa Maria","11201",,"1"
"401","2","Reparto Aguedita","10218",,"1"
"402","2","Reparto Caribe","11706",,"1"
"403","2","Reparto Miguelina","10702",,"1"
"404","2","Reparto Rudima","11207",,"1"
"405","2","Reparto Samaria","10702",,"1"
"406","2","Res. Amapola","11518",,"1"
"407","2","Res. Clarimar","11803",,"1"
"408","2","Res. Del Este","11510",,"1"
"409","2","Res. Don Oscar","11517",,"1"
"410","2","Res. El Dorado","11202",,"1"
"411","2","Res. Fernandez Oriental","11804",,"1"
"412","2","Res. Idalia A 1","11514",,"1"
"413","2","Res. Lomisa","11513",,"1"
"414","2","Res. Mirador Del Este","11804",,"1"
"415","2","Res. Noelia","11402",,"1"
"416","2","Res. Oriente","11509",,"1"
"417","2","Res. Parque Del Este","11604",,"1"
"418","2","Res. Santo Domingo","11114",,"1"
"419","2","Res. Sol de Luz","11205",,"1"
"420","2","Res. Teresa","11704",,"1"
"421","2","Res. Enriquillo","11106",,"1"
"422","2","Res. Alameda","10902",,"1"
"423","2","Res. Almendra","10902",,"1"
"424","2","Res. Canaan","11116",,"1"
"425","2","Res. Don Oscar","11809",,"1"
"426","2","Res. Jose Contreras","11102",,"1"
